System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
2025-10-25 21:03:37,0.84,30.30,55.00,152,171
2025-10-25 21:03:42,5.86,30.90,55.00,153,173
2025-10-25 21:03:47,10.89,30.10,55.00,153,172
2025-10-25 21:03:52,15.91,30.50,55.00,153,173
2025-10-25 21:03:57,20.94,30.40,55.00,153,172
2025-10-25 21:04:02,25.96,30.90,55.00,153,172
2025-10-25 21:04:07,30.99,30.40,55.00,153,171
2025-10-25 21:04:12,36.01,30.30,55.00,155,173
2025-10-25 21:04:17,41.04,30.80,55.00,155,173
2025-10-25 21:04:22,46.06,30.10,55.00,155,173
2025-10-25 21:04:27,51.09,30.70,55.00,154,172
2025-10-25 21:04:32,56.11,30.20,55.00,153,172
2025-10-25 21:04:38,61.14,30.80,55.00,153,172
2025-10-25 21:04:43,66.16,30.30,55.00,152,172
2025-10-25 21:04:48,71.19,30.70,55.00,152,172
2025-10-25 21:04:53,76.21,30.20,55.00,149,167
2025-10-25 21:04:58,81.24,30.20,55.00,148,169
2025-10-25 21:05:03,86.27,30.40,55.00,150,170
2025-10-25 21:05:08,91.29,30.60,55.00,156,173
2025-10-25 21:05:13,96.32,30.10,55.00,155,172
2025-10-25 21:05:18,101.34,30.30,55.00,155,172
2025-10-25 21:05:23,106.37,30.50,55.00,156,172
2025-10-25 21:05:28,111.40,30.60,55.00,153,168
2025-10-25 21:05:33,116.42,30.50,55.00,153,167
2025-10-25 21:05:38,121.45,30.70,55.00,153,167
2025-10-25 21:05:43,126.47,30.20,55.00,154,168
2025-10-25 21:05:48,131.50,30.50,55.00,154,168
2025-10-25 21:05:53,136.52,30.60,55.00,155,170
2025-10-25 21:05:58,141.55,30.00,55.00,158,174
2025-10-25 21:06:03,146.57,30.40,55.00,159,175
2025-10-25 21:06:08,151.60,30.70,55.00,159,176
2025-10-25 21:06:13,156.62,30.00,55.00,156,177
2025-10-25 21:06:18,161.65,30.60,55.00,156,174
2025-10-25 21:06:23,166.68,30.90,55.00,158,179
2025-10-25 21:06:28,171.70,30.30,55.00,156,177
2025-10-25 21:06:33,176.73,30.30,55.00,156,178
2025-10-25 21:06:38,181.76,30.20,55.00,157,179
2025-10-25 21:06:43,186.78,30.80,55.00,157,179
2025-10-25 21:06:48,191.81,30.40,55.00,159,181
2025-10-25 21:06:53,196.83,30.20,55.00,159,181
2025-10-25 21:06:58,201.86,30.40,55.00,159,181
2025-10-25 21:07:03,206.88,30.70,55.00,157,177
2025-10-25 21:07:08,211.91,30.00,55.00,156,177
2025-10-25 21:07:13,216.93,30.50,55.00,156,178
2025-10-25 21:07:18,221.96,30.20,55.00,156,178
2025-10-25 21:07:23,226.99,30.30,55.00,156,175
2025-10-25 21:07:28,232.01,30.00,55.00,156,175
2025-10-25 21:07:33,237.03,30.60,55.00,156,175
2025-10-25 21:07:38,242.06,30.90,55.00,157,177
2025-10-25 21:07:43,247.09,30.60,55.00,154,174
2025-10-25 21:07:48,252.11,30.20,55.00,155,174
2025-10-25 21:07:54,257.14,30.40,55.00,155,172
2025-10-25 21:07:59,262.16,30.30,55.00,156,174
