System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
2025-10-25 21:10:45,0.38,30.80,55.00,160,180
2025-10-25 21:10:50,0,30.00,55.00,158,179
2025-10-25 21:10:55,10.43,30.00,55.00,158,178
2025-10-25 21:11:00,15.45,30.50,55.00,158,178
2025-10-25 21:11:05,20.48,30.20,55.00,154,174
2025-10-25 21:11:10,25.50,30.30,55.00,154,175
2025-10-25 21:11:15,30.53,30.30,55.00,154,175
2025-10-25 21:11:20,35.55,30.20,55.00,157,178
2025-10-25 21:11:25,40.58,30.40,55.00,158,178
2025-10-25 21:11:30,45.60,30.30,55.00,157,177
2025-10-25 21:11:35,50.63,30.20,55.00,157,177
2025-10-25 21:11:40,55.65,30.90,55.00,157,178
2025-10-25 21:11:45,60.68,30.90,55.00,159,180
2025-10-25 21:11:51,65.70,30.70,55.00,159,180
2025-10-25 21:11:56,70.73,30.50,55.00,159,179
2025-10-25 21:12:01,75.75,30.20,55.00,161,183
2025-10-25 21:12:06,80.78,30.30,55.00,164,185
2025-10-25 21:12:11,85.81,30.50,55.00,160,182
2025-10-25 21:12:16,90.83,30.70,55.00,160,179
2025-10-25 21:12:21,95.86,30.20,55.00,160,180
2025-10-25 21:12:26,100.88,30.70,55.00,162,182
2025-10-25 21:12:31,105.91,30.70,55.00,162,182
2025-10-25 21:12:36,110.94,30.00,55.00,160,181
2025-10-25 21:12:41,115.96,30.70,55.00,160,180
2025-10-25 21:12:46,120.99,30.90,55.00,162,181
2025-10-25 21:12:51,126.01,30.30,55.00,162,181
2025-10-25 21:12:56,131.04,30.20,55.00,161,179
2025-10-25 21:13:01,136.06,30.40,55.00,157,176
2025-10-25 21:13:06,141.09,30.10,55.00,160,179
2025-10-25 21:13:11,146.11,30.90,55.00,160,179
2025-10-25 21:13:16,51.14,30.40,55.00,159,179
2025-10-25 21:13:21,156.16,30.50,55.00,157,180
2025-10-25 21:13:26,161.19,30.50,55.00,157,179
2025-10-25 21:13:31,166.22,30.80,55.00,162,188
2025-10-25 21:13:36,171.24,30.00,55.00,161,186
2025-10-25 21:13:41,176.27,30.70,55.00,161,185
2025-10-25 21:13:46,181.29,30.20,55.00,160,181
2025-10-25 21:13:51,186.32,30.40,55.00,159,181
2025-10-25 21:13:56,191.34,30.30,55.00,161,183
2025-10-25 21:14:01,196.37,30.50,55.00,161,183
2025-10-25 21:14:06,201.40,30.10,55.00,161,183
2025-10-25 21:14:11,206.42,30.00,55.00,159,181
2025-10-25 21:14:16,211.45,30.50,55.00,159,181
2025-10-25 21:14:21,216.47,30.80,55.00,159,181
2025-10-25 21:14:26,221.50,30.10,55.00,156,178
2025-10-25 21:14:31,226.52,30.10,55.00,161,183
2025-10-25 21:14:36,231.55,30.00,55.00,161,183
2025-10-25 21:14:41,236.57,30.80,55.00,160,182
2025-10-25 21:14:46,241.60,30.20,55.00,160,182
2025-10-25 21:14:51,246.62,30.60,55.00,163,185
2025-10-25 21:14:56,251.65,30.40,55.00,163,185
2025-10-25 21:15:01,256.68,30.60,55.00,162,185
2025-10-25 21:15:07,261.70,30.20,54.00,162,185
2025-10-25 21:15:12,266.73,30.50,55.00,162,184
2025-10-25 21:15:17,271.75,30.00,55.00,162,184
2025-10-25 21:15:22,276.78,30.60,54.00,164,184
2025-10-25 21:15:27,281.80,30.90,55.00,165,186
2025-10-25 21:15:32,286.83,30.40,55.00,166,186
2025-10-25 21:15:37,291.85,30.60,54.00,165,186
2025-10-25 21:15:42,296.88,30.80,54.00,164,184
2025-10-25 21:15:47,301.90,30.10,54.00,163,187
2025-10-25 21:15:52,306.93,30.40,54.00,164,187
2025-10-25 21:15:57,311.96,30.50,54.00,164,187
2025-10-25 21:16:02,316.98,30.70,54.00,164,187
2025-10-25 21:16:07,322.01,30.90,54.00,164,186
2025-10-25 21:16:12,327.03,30.70,55.00,166,188
2025-10-25 21:16:17,332.06,30.80,55.00,166,188
2025-10-25 21:16:22,337.08,30.60,55.00,159,183
2025-10-25 21:16:27,342.11,30.70,55.00,158,183
2025-10-25 21:16:32,347.14,30.50,54.00,163,185
2025-10-25 21:16:37,352.16,30.70,55.00,163,185
2025-10-25 21:16:42,357.19,30.30,54.00,163,184
2025-10-25 21:16:47,362.21,30.80,54.00,164,184
2025-10-25 21:16:52,367.24,30.20,54.00,163,182
2025-10-25 21:16:57,372.26,30.70,54.00,163,182
2025-10-25 21:17:02,377.29,30.90,54.00,163,181
2025-10-25 21:17:07,382.31,30.10,54.00,166,184
2025-10-25 21:17:12,387.34,30.40,54.00,166,184
2025-10-25 21:17:17,392.36,30.40,54.00,160,176
2025-10-25 21:17:22,397.39,30.40,54.00,161,177
