System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,CO2,CO
2025-10-30 18:18:56,Time(ms),Temp(°C),Humidity(%),PM2.5,PM10,CO2/VOC(ppm),CO(ppm)
2025-10-30 18:18:57,10.98,28.90,67.00,112,128,479.81,0.76
2025-10-30 18:19:02,16.08,28.70,67.00,112,128,461.53,0.68
2025-10-30 18:19:07,21.19,28.30,67.00,112,128,445.31,0.59
2025-10-30 18:19:12,26.29,28.00,67.00,110,126,434.54,0.58
2025-10-30 18:19:17,31.40,28.90,67.00,110,126,426.09,0.58
2025-10-30 18:19:22,36.50,28.20,67.00,110,126,417.78,0.56
2025-10-30 18:19:27,41.61,28.00,67.00,111,127,412.31,0.56
2025-10-30 18:19:32,46.71,28.20,67.00,111,126,407.58,0.50
2025-10-30 18:19:37,51.82,28.40,67.00,111,126,400.91,0.47
2025-10-30 18:19:43,56.92,28.60,67.00,110,125,378.29,0.42
2025-10-30 18:19:48,62.03,28.30,67.00,112,126,379.55,0.42
2025-10-30 18:19:53,67.14,28.90,67.00,112,125,372.65,0.40
2025-10-30 18:19:58,72.24,28.30,67.00,113,126,362.81,0.45
2025-10-30 18:20:03,77.35,28.40,67.00,113,126,372.65,0.41
2025-10-30 18:20:08,82.45,28.40,67.00,110,124,356.17,0.40
2025-10-30 18:20:13,87.56,28.90,67.00,108,123,349.05,0.38
2025-10-30 18:20:18,92.67,28.20,67.00,108,122,346.70,0.34
2025-10-30 18:20:23,97.77,28.20,67.00,114,131,326.18,0.20
2025-10-30 18:20:28,102.88,28.60,67.00,114,132,314.16,0.30
2025-10-30 18:20:34,107.98,28.60,67.00,115,133,308.82,0.32
2025-10-30 18:20:39,113.09,28.40,67.00,114,132,313.62,0.29
2025-10-30 18:20:44,118.19,28.80,67.00,114,129,312.01,0.31
2025-10-30 18:20:49,123.30,28.20,67.00,116,130,309.88,0.30
2025-10-30 18:20:54,128.41,28.30,67.00,116,130,309.35,0.27
2025-10-30 18:20:59,133.51,28.70,68.00,117,131,301.99,0.40
2025-10-30 18:21:04,138.62,28.60,68.00,117,131,291.24,0.26
2025-10-30 18:21:09,143.72,28.90,68.00,117,131,282.77,0.27
2025-10-30 18:21:14,148.83,28.30,68.00,116,130,283.76,0.26
2025-10-30 18:21:20,153.93,28.50,68.00,110,125,274.99,0.27
2025-10-30 18:21:25,159.04,28.90,68.00,112,127,288.23,0.25
2025-10-30 18:21:30,164.15,28.30,68.00,112,127,285.74,0.22
2025-10-30 18:21:35,169.25,28.90,68.00,112,127,278.86,0.23
2025-10-30 18:21:40,174.36,28.00,68.00,109,122,276.44,0.22
2025-10-30 18:21:45,179.46,28.00,68.00,109,123,266.46,0.22
2025-10-30 18:21:50,184.57,28.10,68.00,108,122,267.87,0.23
2025-10-30 18:21:55,189.67,28.10,68.00,108,123,256.79,0.25
2025-10-30 18:22:00,194.78,28.00,68.00,108,123,255.43,0.18
2025-10-30 18:22:05,199.88,28.90,68.00,109,124,256.79,0.20
2025-10-30 18:22:11,204.99,28.80,68.00,109,124,258.15,0.22
2025-10-30 18:22:16,210.09,28.00,68.00,109,124,262.28,0.21
2025-10-30 18:22:21,215.19,28.90,68.00,108,124,253.63,0.17
2025-10-30 18:22:27,220.99,28.00,68.00,108,125,240.89,0.19
2025-10-30 18:22:32,226.09,28.40,68.00,108,125,248.73,0.20
2025-10-30 18:22:37,231.20,28.90,68.00,110,127,248.29,0.21
2025-10-30 18:22:42,236.31,28.00,68.00,111,127,243.05,0.20
2025-10-30 18:22:47,241.41,28.30,68.00,110,125,240.03,0.16
2025-10-30 18:22:52,246.51,28.80,68.00,110,125,226.64,0.20
2025-10-30 18:22:57,251.62,28.80,68.00,110,124,230.34,0.19
2025-10-30 18:23:02,256.72,28.30,68.00,110,125,226.23,0.17
2025-10-30 18:23:07,261.83,28.30,68.00,110,125,227.87,0.20
2025-10-30 18:23:13,266.93,28.70,68.00,110,125,225.82,0.17
2025-10-30 18:23:18,272.04,28.40,68.00,108,122,232.00,0.20
2025-10-30 18:23:23,277.14,28.20,68.00,108,121,229.10,0.15
2025-10-30 18:23:28,282.25,28.30,68.00,107,121,232.42,0.20
2025-10-30 18:23:33,287.35,28.50,68.00,109,123,218.99,0.19
2025-10-30 18:23:38,292.46,28.80,68.00,109,124,208.11,0.15
2025-10-30 18:23:43,297.56,28.80,68.00,105,121,219.78,0.16
2025-10-30 18:23:48,302.67,28.50,68.00,104,121,213.10,0.17
2025-10-30 18:23:53,307.77,28.00,68.00,105,119,222.18,0.14
2025-10-30 18:23:58,312.88,28.40,68.00,105,119,220.18,0.17
2025-10-30 18:24:04,17.98,28.80,68.00,105,119,215.44,0.15
2025-10-30 18:24:09,323.09,28.60,68.00,107,123,215.44,0.14
2025-10-30 18:24:14,328.19,28.60,68.00,109,123,210.02,0.16
2025-10-30 18:24:19,333.30,28.70,68.00,108,122,206.21,0.15
2025-10-30 18:24:24,338.40,28.40,68.00,108,122,211.55,0.16
2025-10-30 18:24:29,343.51,28.50,68.00,108,121,207.35,0.18
2025-10-30 18:24:34,348.61,28.20,68.00,108,120,211.94,0.17
2025-10-30 18:24:39,353.72,28.40,68.00,106,117,213.10,0.15
2025-10-30 18:24:44,358.82,28.10,68.00,105,117,210.78,0.14
2025-10-30 18:24:50,363.93,28.20,68.00,105,117,214.66,0.14
2025-10-30 18:24:55,369.03,28.10,68.00,104,116,200.61,0.16
2025-10-30 18:25:00,374.14,28.50,68.00,106,119,198.04,0.16
2025-10-30 18:25:05,379.24,28.70,68.00,107,120,195.86,0.13
2025-10-30 18:25:10,384.35,28.00,68.00,107,120,197.68,0.15
2025-10-30 18:25:15,389.45,28.60,68.00,107,121,203.96,0.22
2025-10-30 18:25:20,394.56,28.70,68.00,104,118,188.38,0.15
2025-10-30 18:25:25,399.66,28.00,68.00,104,118,200.61,0.13
2025-10-30 18:25:30,404.77,28.30,68.00,107,120,196.22,0.16
2025-10-30 18:25:35,409.87,28.50,68.00,108,122,194.06,0.13
2025-10-30 18:25:41,414.98,28.00,68.00,107,121,185.25,0.09
2025-10-30 18:25:46,420.08,28.10,68.00,107,121,185.60,0.16
2025-10-30 18:25:51,425.19,28.70,68.00,107,121,194.78,0.15
2025-10-30 18:25:56,430.29,28.00,68.00,104,116,190.50,0.18
2025-10-30 18:26:01,435.40,28.70,68.00,103,115,193.34,0.14
2025-10-30 18:26:06,440.50,28.20,68.00,105,117,194.78,0.15
2025-10-30 18:26:11,445.61,28.90,68.00,107,120,189.09,0.13
2025-10-30 18:26:16,450.72,28.80,68.00,107,120,181.48,0.15
2025-10-30 18:26:21,455.82,28.70,68.00,107,120,181.14,0.13
2025-10-30 18:26:27,460.93,28.60,68.00,107,120,180.13,0.13
2025-10-30 18:26:32,466.03,28.30,68.00,108,123,183.53,0.14
2025-10-30 18:26:37,471.14,28.50,68.00,107,124,194.42,0.15
2025-10-30 18:26:42,476.25,28.70,68.00,105,122,185.25,0.13
2025-10-30 18:26:47,481.35,28.10,68.00,105,122,185.25,0.12
2025-10-30 18:26:52,486.45,28.80,68.00,104,122,182.16,0.12
2025-10-30 18:26:57,491.56,28.40,68.00,106,124,175.45,0.14
2025-10-30 18:27:02,496.66,28.60,68.00,103,117,176.11,0.14
2025-10-30 18:27:07,501.77,28.10,68.00,105,118,175.78,0.14
2025-10-30 18:27:12,506.87,28.40,68.00,104,117,177.44,0.15
2025-10-30 18:27:18,511.98,28.30,68.00,104,117,183.53,0.15
2025-10-30 18:27:23,517.08,28.80,68.00,103,116,188.03,0.13
2025-10-30 18:27:28,522.19,28.90,68.00,103,116,181.48,0.13
2025-10-30 18:27:33,527.29,28.40,68.00,105,117,178.11,0.14
2025-10-30 18:27:38,532.40,28.60,68.00,105,116,175.12,0.12
2025-10-30 18:27:43,537.50,28.10,68.00,105,116,175.12,0.10
2025-10-30 18:27:48,542.61,28.40,68.00,105,116,174.46,0.14
2025-10-30 18:27:53,547.71,28.30,68.00,106,118,172.50,0.08
2025-10-30 18:27:58,552.82,28.30,68.00,107,118,177.44,0.14
2025-10-30 18:28:03,557.92,28.70,68.00,107,118,178.78,0.12
2025-10-30 18:28:09,563.03,28.80,68.00,106,121,178.11,0.17
2025-10-30 18:28:14,568.13,28.20,68.00,106,121,174.46,0.11
2025-10-30 18:28:19,573.23,28.40,68.00,106,121,168.63,0.13
2025-10-30 18:28:24,578.34,28.60,68.00,104,117,174.13,0.04
2025-10-30 18:28:29,583.45,28.00,68.00,100,114,173.81,0.13
2025-10-30 18:28:34,588.55,28.50,68.00,100,114,173.48,0.13
2025-10-30 18:28:39,593.66,28.70,68.00,100,114,170.55,0.14
2025-10-30 18:28:44,598.76,28.70,68.00,100,114,175.78,0.13
2025-10-30 18:28:49,603.87,28.30,68.00,99,112,172.83,0.11
2025-10-30 18:28:55,608.97,28.80,68.00,99,112,168.95,0.13
2025-10-30 18:29:00,614.08,28.60,68.00,99,112,167.03,0.12
2025-10-30 18:29:05,.18,28.30,68.00,102,115,167.35,0.11
2025-10-30 18:29:10,624.29,28.40,68.00,102,115,167.67,0.14
2025-10-30 18:29:15,629.39,28.90,68.00,103,116,170.88,0.09
2025-10-30 18:29:20,634.50,28.20,68.00,102,115,174.46,0.10
2025-10-30 18:29:25,639.60,28.90,68.00,103,115,175.78,0.12
2025-10-30 18:29:30,644.71,28.00,68.00,103,115,174.13,0.13
2025-10-30 18:29:35,649.81,28.10,68.00,106,121,168.95,0.12
2025-10-30 18:29:40,654.92,28.60,68.00,105,119,170.55,0.09
2025-10-30 18:29:46,660.02,28.90,68.00,101,117,166.08,0.12
2025-10-30 18:29:51,665.13,28.80,68.00,104,119,167.35,0.12
2025-10-30 18:29:56,670.24,28.40,68.00,104,120,170.55,0.12
2025-10-30 18:30:01,675.34,28.00,68.00,104,120,175.45,0.11
2025-10-30 18:30:06,680.45,28.90,68.00,102,118,170.88,0.13
2025-10-30 18:30:11,685.55,28.10,68.00,103,119,170.23,0.09
2025-10-30 18:30:16,0.66,28.70,68.00,103,119,161.40,0.10
2025-10-30 18:30:21,695.76,28.30,68.00,103,119,164.20,0.11
2025-10-30 18:30:26,700.87,28.50,68.00,103,119,163.88,0.12
2025-10-30 18:30:32,705.97,28.20,68.00,103,120,165.14,0.11
2025-10-30 18:30:37,711.07,28.80,68.00,105,122,162.33,0.13
2025-10-30 18:30:42,716.18,28.50,68.00,105,122,167.67,0.11
2025-10-30 18:30:47,721.28,28.90,68.00,105,122,167.67,0.09
2025-10-30 18:30:52,726.39,28.00,68.00,103,119,167.35,0.12
2025-10-30 18:30:57,731.49,28.40,68.00,104,118,159.56,0.12
2025-10-30 18:31:02,736.60,28.10,68.00,106,118,159.86,0.09
2025-10-30 18:31:07,741.70,28.70,68.00,106,117,160.78,0.09
2025-10-30 18:31:12,746.81,28.40,68.00,101,115,163.57,0.11
2025-10-30 18:31:17,751.92,28.90,68.00,101,115,167.35,0.10
2025-10-30 18:31:23,757.02,28.30,68.00,102,115,169.91,0.18
2025-10-30 18:31:28,762.13,28.50,68.00,101,114,165.77,0.11
2025-10-30 18:31:33,767.24,28.70,68.00,100,113,166.40,0.11
2025-10-30 18:31:38,772.34,28.40,68.00,100,114,166.40,0.19
2025-10-30 18:31:43,777.44,28.70,68.00,100,114,161.40,0.11
2025-10-30 18:31:48,782.55,28.60,68.00,100,114,164.20,0.11
2025-10-30 18:31:53,787.65,28.90,68.00,100,114,161.40,0.17
2025-10-30 18:31:58,792.76,28.20,68.00,101,114,165.77,0.13
2025-10-30 18:32:03,797.86,28.00,68.00,101,115,165.45,0.14
2025-10-30 18:32:09,802.97,28.60,68.00,100,114,163.26,0.32
2025-10-30 18:32:14,808.07,28.90,68.00,100,115,166.08,0.13
2025-10-30 18:32:19,813.18,28.20,68.00,101,117,162.02,0.11
2025-10-30 18:32:24,818.28,28.80,68.00,100,113,156.22,0.11
2025-10-30 18:32:29,823.39,28.60,68.00,102,112,180.13,0.20
2025-10-30 18:32:34,828.50,28.90,68.00,102,117,159.25,0.11
2025-10-30 18:32:39,833.60,28.20,68.00,101,116,160.48,0.13
2025-10-30 18:32:44,838.71,28.00,68.00,101,115,165.45,0.13
2025-10-30 18:32:49,843.81,28.70,68.00,101,116,165.14,0.12
2025-10-30 18:32:54,.92,28.70,68.00,102,114,167.35,0.11
2025-10-30 18:33:00,854.02,28.70,68.00,104,117,160.48,0.09
2025-10-30 18:33:05,859.13,28.30,68.00,104,116,156.52,0.11
2025-10-30 18:33:10,864.23,28.00,68.00,104,116,159.25,0.05
2025-10-30 18:33:15,869.34,28.90,68.00,104,115,158.95,0.11
2025-10-30 18:33:20,874.44,28.40,68.00,104,115,161.40,0.09
2025-10-30 18:33:25,879.55,28.40,68.00,103,113,164.51,0.11
2025-10-30 18:33:30,884.65,28.20,68.00,103,114,164.82,0.12
2025-10-30 18:33:35,889.76,28.70,68.00,103,114,165.14,0.11
2025-10-30 18:33:40,894.86,28.60,68.00,105,118,160.78,0.10
2025-10-30 18:33:46,899.97,28.60,68.00,100,113,158.04,0.13
2025-10-30 18:33:51,905.07,28.10,68.00,99,111,158.64,0.10
2025-10-30 18:33:56,910.18,28.90,68.00,107,120,157.43,0.12
2025-10-30 18:34:01,915.29,28.10,68.00,106,120,162.95,0.12
2025-10-30 18:34:06,920.39,28.90,68.00,106,120,163.26,0.11
2025-10-30 18:34:11,925.50,28.00,68.00,106,119,164.20,0.11
2025-10-30 18:34:16,930.60,28.90,68.00,103,115,163.57,0.10
2025-10-30 18:34:21,935.71,28.10,68.00,103,115,165.45,0.12
2025-10-30 18:34:26,940.81,28.60,68.00,102,115,158.64,0.09
2025-10-30 18:34:31,945.92,28.90,68.00,103,115,158.04,0.11
2025-10-30 18:34:37,951.02,28.40,68.00,103,115,156.22,0.10
2025-10-30 18:34:42,956.12,28.20,68.00,102,116,159.56,0.11
2025-10-30 18:34:47,961.23,28.90,68.00,102,115,160.78,0.09
2025-10-30 18:34:52,966.33,28.20,68.00,102,115,164.82,0.09
2025-10-30 18:34:57,971.44,28.00,68.00,101,113,183.53,0.12
2025-10-30 18:35:02,976.54,28.00,68.00,102,118,148.28,0.09
2025-10-30 18:35:07,981.65,28.00,68.00,97,113,157.43,0.15
2025-10-30 18:35:12,986.75,28.90,68.00,99,112,155.92,0.06
2025-10-30 18:35:17,991.86,28.40,68.00,101,118,155.62,0.12
2025-10-30 18:35:23,996.97,28.20,68.00,101,118,156.22,0.09
2025-10-30 18:35:28,1002.07,28.60,68.00,101,118,158.95,0.11
2025-10-30 18:35:33,1007.18,28.90,68.00,101,118,162.02,0.11
2025-10-30 18:35:38,1012.28,28.10,68.00,99,116,159.56,0.11
2025-10-30 18:35:43,1017.39,28.90,68.00,99,115,162.02,0.13
2025-10-30 18:35:48,1022.49,28.20,68.00,102,117,155.62,0.10
2025-10-30 18:35:53,1027.60,28.90,68.00,102,117,158.34,0.12
2025-10-30 18:35:58,1032.70,28.20,68.00,102,116,161.71,0.11
2025-10-30 18:36:03,1037.81,28.10,68.00,100,113,160.48,0.10
2025-10-30 18:36:08,1042.91,28.80,68.00,100,113,163.88,0.11
2025-10-30 18:36:14,.01,28.40,68.00,100,111,166.40,0.11
2025-10-30 18:36:19,1053.12,28.10,68.00,100,111,161.40,0.10
2025-10-30 18:36:24,1058.22,28.20,68.00,100,113,165.14,0.10
2025-10-30 18:36:29,1063.33,28.00,68.00,103,114,157.43,0.17
2025-10-30 18:36:34,1068.43,28.60,68.00,104,116,155.03,0.08
2025-10-30 18:36:39,1073.54,28.00,68.00,98,112,157.13,0.10
