System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,,
05-11-2025 13:48,56.41,29,60,79,91,0.46,0.05
05-11-2025 13:48,71.52,29.9,60,78,90,0.41,0.03
05-11-2025 13:49,86.63,29.1,60,78,90,0.4,0.03
05-11-2025 13:49,101.73,29.4,60,78,91,0.37,0.02
05-11-2025 13:49,116.84,29.7,60,78,91,0.36,0.02
05-11-2025 13:49,131.95,29.5,60,78,91,0.35,0.01
05-11-2025 13:50,147.06,29.1,60,78,90,0.33,0.01
05-11-2025 13:50,162.16,29.8,60,78,90,0.35,0
05-11-2025 13:50,177.27,29,60,78,92,0.23,0.01
05-11-2025 13:50,192.38,29.1,60,78,92,0.32,0.01
05-11-2025 13:51,207.48,29.1,60,78,93,0.3,0.01
05-11-2025 13:51,222.59,29.1,60,76,85,0.28,0.01
05-11-2025 13:51,237.7,29.3,60,83,93,0.31,0
05-11-2025 13:51,252.81,29.7,60,74,77,0.3,0.01
05-11-2025 13:52,267.91,29.5,60,74,77,0.31,0
05-11-2025 13:52,283.02,29.4,60,74,77,0.29,0
05-11-2025 13:52,298.13,29.9,60,77,85,0.3,0
05-11-2025 13:52,313.23,29.5,60,76,85,0.28,0
05-11-2025 13:53,328.34,29.6,59,77,87,0.27,0
05-11-2025 13:53,343.45,29.1,59,77,88,0.29,0
05-11-2025 13:53,358.55,29.9,59,76,86,0.26,0
05-11-2025 13:53,373.66,29.5,59,78,87,0.28,0
05-11-2025 13:54,388.77,29.8,59,77,86,0.26,0
05-11-2025 13:54,403.88,29.2,60,77,87,0.27,0
05-11-2025 13:54,418.98,29.5,59,77,87,0.27,0
05-11-2025 13:54,434.09,29.9,59,77,87,0.24,0
05-11-2025 13:55,449.2,29.4,59,77,86,0.25,0
05-11-2025 13:55,464.31,29,59,78,86,0.23,0
05-11-2025 13:55,479.41,29.2,59,77,85,0.24,0
05-11-2025 13:55,494.52,29.1,59,76,85,0.22,0
05-11-2025 13:56,509.63,29.6,59,76,85,0.23,0
05-11-2025 13:56,524.73,29.2,59,75,84,0.22,0
05-11-2025 13:56,539.84,29.2,59,75,84,0.2,0
05-11-2025 13:56,554.95,29.1,59,75,84,0.22,0
05-11-2025 13:57,570.05,29,59,75,85,0.2,0
05-11-2025 13:57,585.16,29.5,59,75,85,0.22,0
05-11-2025 13:57,600.27,29.6,59,76,87,0.2,0
05-11-2025 13:57,615.38,29.7,59,76,87,0.2,0
05-11-2025 13:58,630.48,29.6,59,74,85,0.21,0
05-11-2025 13:58,645.59,29.8,59,73,83,0.19,0
05-11-2025 13:58,660.7,29.1,59,74,84,0.2,0
05-11-2025 13:58,675.8,29.4,59,75,86,0.19,0
05-11-2025 13:59,690.91,29.7,59,75,87,0.18,0
05-11-2025 13:59,706.02,29,59,74,83,0.19,0
05-11-2025 13:59,721.13,29.4,59,74,84,0.19,0
05-11-2025 13:59,736.23,29.7,59,74,84,0.18,0
05-11-2025 14:00,751.34,29.2,59,70,78,0.18,0
05-11-2025 14:00,766.45,29.1,59,77,86,0.18,0
05-11-2025 14:00,781.56,29.5,59,75,88,0.17,0
05-11-2025 14:00,796.66,30.2,59,76,88,0.19,0
05-11-2025 14:01,811.77,30,59,76,88,0.19,0
05-11-2025 14:01,826.88,30.1,59,76,88,0.18,0
05-11-2025 14:01,841.99,30.3,59,78,88,0.19,0
05-11-2025 14:02,857.09,30.2,59,78,88,0.17,0
05-11-2025 14:02,872.2,30.4,59,75,83,0.17,0
05-11-2025 14:02,887.31,30,59,76,84,0.17,0
05-11-2025 14:02,902.41,30.5,59,76,84,0.16,0
05-11-2025 14:03,917.52,30.8,59,76,82,0.15,0
05-11-2025 14:03,932.63,29.7,60,74,81,0.17,0
05-11-2025 14:03,947.74,29.1,60,73,80,0.16,0
05-11-2025 14:03,962.84,29.7,60,74,81,0.15,0
05-11-2025 14:04,977.95,29.4,60,75,86,0.17,0
05-11-2025 14:04,993.06,29.8,60,74,85,0.17,0
05-11-2025 14:04,1008.16,29.9,60,76,85,0.17,0
05-11-2025 14:04,1023.27,29.7,60,74,84,0.16,0
05-11-2025 14:05,1038.38,29.8,60,73,84,0.17,0
05-11-2025 14:05,1053.49,29.1,60,74,84,0.17,0
05-11-2025 14:05,1068.59,29.6,60,75,83,0.16,0
05-11-2025 14:05,1083.7,29,60,75,83,0.17,0
05-11-2025 14:06,1098.81,29.2,60,76,83,0.16,0
05-11-2025 14:06,1113.91,29.5,60,73,81,0.17,0
05-11-2025 14:06,1129.02,29.2,60,71,81,0.16,0
05-11-2025 14:06,1144.13,29.6,60,71,81,0.16,0
05-11-2025 14:07,1159.23,29,60,73,81,0.15,0
05-11-2025 14:07,1174.34,29.1,60,72,81,0.15,0
05-11-2025 14:07,1189.45,29.2,60,72,80,0.16,0
05-11-2025 14:07,1204.56,29.2,60,72,82,0.15,0
05-11-2025 14:08,1219.66,29.7,60,72,82,0.16,0
05-11-2025 14:08,1234.77,29.9,60,72,82,0.16,0
05-11-2025 14:08,1249.88,29.5,60,73,82,0.16,0
05-11-2025 14:08,1264.98,29,60,72,83,0.16,0
05-11-2025 14:09,1280.09,29.3,60,73,84,0.16,0
05-11-2025 14:09,1295.2,29.7,60,76,84,0.16,0
05-11-2025 14:09,1310.31,29.2,60,74,83,0.15,0
05-11-2025 14:09,1325.42,29.4,60,73,83,0.16,0
05-11-2025 14:10,1340.52,29.9,60,74,84,0.15,0
05-11-2025 14:10,1355.63,29.2,60,74,84,0.16,0
05-11-2025 14:10,1370.74,29.8,60,73,81,0.15,0
05-11-2025 14:10,1385.85,29,60,73,81,0.14,0
05-11-2025 14:11,1400.95,29.6,60,74,85,0.15,0
05-11-2025 14:11,1416.06,29.7,60,72,83,0.15,0
05-11-2025 14:11,1431.17,29.3,60,70,80,0.15,0
05-11-2025 14:11,1446.28,29.8,60,71,79,0.14,0
05-11-2025 14:12,1461.38,29.1,60,71,79,0.16,0
05-11-2025 14:12,1476.49,29.5,60,74,82,0.15,0
05-11-2025 14:12,1491.6,29.4,60,74,82,0.16,0
05-11-2025 14:12,1506.7,29.3,60,74,83,0.15,0
05-11-2025 14:13,1521.81,29,61,74,83,0.15,0
05-11-2025 14:13,1536.92,29.2,60,75,84,0.15,0
05-11-2025 14:13,1552.03,29.4,60,72,79,0.15,0
05-11-2025 14:13,1567.13,29.7,60,73,84,0.15,0
05-11-2025 14:14,1582.24,29,60,71,83,0.15,0
05-11-2025 14:14,1597.35,29,60,73,85,0.16,0
05-11-2025 14:14,1612.46,29.7,60,73,85,0.15,0
05-11-2025 14:14,1627.56,29.4,60,71,78,0.14,0
05-11-2025 14:15,1642.67,29.3,60,71,78,0.15,0
05-11-2025 14:15,1657.78,29.9,61,71,78,0.14,0
05-11-2025 14:15,1672.88,29.3,60,71,78,0.15,0
05-11-2025 14:15,1687.99,29.5,61,74,83,0.14,0
05-11-2025 14:16,1703.1,29,61,75,83,0.15,0
05-11-2025 14:16,1718.21,29.7,60,71,78,0.15,0
05-11-2025 14:16,1733.31,29.8,60,71,78,0.14,0
05-11-2025 14:16,1748.42,29.7,60,71,78,0.15,0
05-11-2025 14:17,1763.53,29,60,73,83,0.14,0
05-11-2025 14:17,1778.63,29.9,60,73,83,0.15,0
05-11-2025 14:17,1793.74,29.2,60,72,78,0.14,0
05-11-2025 14:17,1808.85,29.1,61,72,82,0.14,0
05-11-2025 14:18,1823.96,29.9,61,72,81,0.14,0
05-11-2025 14:18,1839.07,29.7,61,75,83,0.14,0
05-11-2025 14:18,1854.17,29.1,61,72,81,0.14,0
05-11-2025 14:18,1869.28,29.7,60,72,81,0.13,0
05-11-2025 14:19,1884.39,29.6,61,72,81,0.14,0
05-11-2025 14:19,1899.5,29.6,60,72,81,0.14,0
05-11-2025 14:19,1914.6,30.3,60,71,81,0.14,0
05-11-2025 14:19,1929.71,30,60,71,81,0.14,0
05-11-2025 14:20,1944.82,30.6,60,71,80,0.14,0
05-11-2025 14:20,1959.92,30,61,72,80,0.14,0
05-11-2025 14:20,1975.03,30.7,60,70,77,0.14,0
05-11-2025 14:20,1990.14,30,60,70,77,0.14,0
05-11-2025 14:21,2005.25,30.3,60,71,81,0.13,0
05-11-2025 14:21,2020.35,30.9,60,69,77,0.14,0
05-11-2025 14:21,2035.46,30.7,60,69,77,0.13,0
05-11-2025 14:21,2050.57,30.1,60,70,79,0.14,0
05-11-2025 14:22,2065.68,30.8,60,69,78,0.13,0
05-11-2025 14:22,2080.78,30.6,60,69,78,0.13,0
05-11-2025 14:22,2095.89,30.8,60,73,79,0.14,0
05-11-2025 14:22,2111,30.8,60,72,78,0.13,0
05-11-2025 14:23,2126.11,30.1,60,72,79,0.14,0
05-11-2025 14:23,2141.21,30.4,60,73,80,0.13,0
05-11-2025 14:23,2156.32,30.5,60,69,79,0.12,0
05-11-2025 14:23,2171.43,30.1,60,70,80,0.13,0
05-11-2025 14:24,2186.53,30.3,60,71,80,0.13,0
05-11-2025 14:24,2201.64,30,60,68,77,0.13,0
