System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,NO2,CO
2025-11-09 22:00:34,41.37,26.20,43.00,192,213,0.85,0.00
2025-11-09 22:00:49,56.47,26.70,43.00,192,213,0.88,0.00
2025-11-09 22:01:05,71.58,26.50,43.00,186,207,0.85,0.00
2025-11-09 22:01:20,86.69,26.10,43.00,186,208,0.85,0.00
2025-11-09 22:01:35,101.80,26.40,43.00,186,208,0.81,0.00
2025-11-09 22:01:50,116.90,26.70,43.00,188,211,0.87,0.00
2025-11-09 22:02:05,132.01,26.30,43.00,189,212,0.83,inf
2025-11-09 22:02:20,147.12,26.50,43.00,186,209,0.84,0.00
2025-11-09 22:02:35,162.22,26.10,43.00,186,209,0.83,0.00
2025-11-09 22:02:50,177.33,26.30,43.00,185,210,0.80,0.00
2025-11-09 22:03:05,192.44,26.60,43.00,190,216,0.86,0.00
2025-11-09 22:03:21,207.55,26.10,43.00,195,221,0.80,0.00
2025-11-09 22:03:36,222.65,26.10,43.00,195,221,0.83,0.00
2025-11-09 22:03:51,237.76,26.90,43.00,189,215,0.80,0.00
2025-11-09 22:04:06,252.87,26.80,43.00,190,215,0.81,0.00
2025-11-09 22:04:21,267.98,26.00,43.00,190,215,0.82,0.00
2025-11-09 22:04:36,283.08,26.60,43.00,187,211,0.80,0.00
2025-11-09 22:04:51,298.19,26.00,43.00,187,210,0.83,0.00
2025-11-09 22:05:06,313.30,26.30,43.00,187,207,0.78,0.00
2025-11-09 22:05:21,328.41,26.20,43.00,188,216,0.80,0.00
2025-11-09 22:05:37,343.51,26.30,43.00,189,218,0.78,0.00
2025-11-09 22:05:52,358.62,26.30,43.00,189,218,0.79,0.00
2025-11-09 22:06:07,373.73,26.30,43.00,189,218,0.79,0.00
2025-11-09 22:06:22,388.84,26.40,43.00,189,218,0.78,0.00
2025-11-09 22:06:37,403.94,26.40,43.00,188,217,0.82,0.00
2025-11-09 22:06:52,419.05,26.40,43.00,188,217,0.77,0.00
2025-11-09 22:07:07,434.16,26.30,43.00,187,216,0.81,0.00
2025-11-09 22:07:22,449.27,26.10,43.00,189,213,0.79,0.00
2025-11-09 22:07:37,464.38,26.90,43.00,189,216,0.81,0.00
