System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10
25-10-2025 21:10,10.43,30.0,55,158,178
25-10-2025 21:11,25.5,30.3,55,154,175
25-10-2025 21:11,40.58,30.4,55,158,178
25-10-2025 21:11,55.65,30.9,55,157,178
25-10-2025 21:11,70.73,30.5,55,159,179
25-10-2025 21:12,85.81,30.5,55,160,182
25-10-2025 21:12,100.88,30.7,55,162,182
25-10-2025 21:12,115.96,30.7,55,160,180
25-10-2025 21:12,131.04,30.2,55,161,179
25-10-2025 21:13,146.11,30.9,55,160,179
25-10-2025 21:13,161.19,30.5,55,157,179
25-10-2025 21:13,176.27,30.7,55,161,185
25-10-2025 21:13,191.34,30.3,55,161,183
25-10-2025 21:14,206.42,30.0,55,159,181
25-10-2025 21:14,221.5,30.1,55,156,178
25-10-2025 21:14,236.57,30.8,55,160,182
25-10-2025 21:14,251.65,30.4,55,163,185
25-10-2025 21:15,266.73,30.5,55,162,184
25-10-2025 21:15,281.8,30.9,55,165,186
25-10-2025 21:15,296.88,30.8,54,164,184
25-10-2025 21:15,311.96,30.5,54,164,187
25-10-2025 21:16,327.03,30.7,55,166,188
25-10-2025 21:16,342.11,30.7,55,158,183
25-10-2025 21:16,357.19,30.3,54,163,184
25-10-2025 21:16,372.26,30.7,54,163,182
25-10-2025 21:17,387.34,30.4,54,166,184
25-10-2025 21:17,402.41,30.4,54,161,177
25-10-2025 21:17,417.49,30.5,54,158,173
25-10-2025 21:17,432.57,30.7,54,167,187
25-10-2025 21:18,447.65,30.4,54,165,188
25-10-2025 21:18,2.72,30.0,54,164,188
25-10-2025 21:18,477.8,30.7,54,162,183
25-10-2025 21:18,492.87,30.7,54,165,184
25-10-2025 21:19,507.95,30.7,54,163,188
25-10-2025 21:19,523.03,30.5,54,162,184
25-10-2025 21:19,538.11,30.1,54,159,181
25-10-2025 21:19,553.18,30.2,54,160,182
25-10-2025 21:20,568.26,30.2,54,166,189
25-10-2025 21:20,583.34,30.7,54,170,190
25-10-2025 21:20,598.41,30.6,54,169,189
25-10-2025 21:20,613.49,30.5,54,166,190
25-10-2025 21:21,628.56,30.8,54,166,189
25-10-2025 21:21,643.64,30.7,54,167,190
25-10-2025 21:21,658.72,30.8,54,168,192
25-10-2025 21:21,673.79,30.6,54,165,185
25-10-2025 21:22,688.87,30.4,54,167,185
25-10-2025 21:22,703.95,30.3,54,165,189
25-10-2025 21:22,719.02,30.3,54,163,187
25-10-2025 21:22,734.1,30.2,54,165,185
25-10-2025 21:23,749.17,30.9,54,167,190
25-10-2025 21:23,764.25,30.9,54,166,185
25-10-2025 21:23,779.33,30.7,54,168,191
25-10-2025 21:23,794.41,30.4,54,168,191
25-10-2025 21:24,809.48,30.1,54,167,190
25-10-2025 21:24,824.56,30.5,54,163,190
25-10-2025 21:24,839.64,30.6,54,164,190
25-10-2025 21:25,854.72,30.6,54,164,188
25-10-2025 21:25,869.79,30.0,54,164,186
25-10-2025 21:25,884.87,30.9,54,164,187
25-10-2025 21:25,99.94,30.3,54,166,186
25-10-2025 21:26,915.02,30.4,54,163,186
25-10-2025 21:26,930.1,30.6,54,159,181
25-10-2025 21:26,945.17,30.9,54,167,187
25-10-2025 21:26,0.25,30.9,54,169,189
25-10-2025 21:27,5.33,30.4,54,166,188
25-10-2025 21:27,990.4,30.3,54,166,188
25-10-2025 21:27,1005.48,30.8,54,174,194
25-10-2025 21:27,1020.56,30.5,54,171,195
25-10-2025 21:28,1035.63,30.5,54,166,190
25-10-2025 21:28,1050.71,30.4,54,168,190
25-10-2025 21:28,1065.78,30.4,54,170,190
25-10-2025 21:28,80.86,30.4,54,167,188
25-10-2025 21:29,1095.94,30.9,54,165,184
25-10-2025 21:29,1111.02,30.9,54,168,190
25-10-2025 21:29,1126.09,30.6,54,167,189
25-10-2025 21:29,1141.17,30.4,54,168,192
25-10-2025 21:30,1156.24,30.4,54,167,185
25-10-2025 21:30,1171.32,30.4,54,166,184
25-10-2025 21:30,1186.4,30.7,54,165,184
25-10-2025 21:30,1201.48,30.4,54,165,187
25-10-2025 21:31,1216.55,30.6,54,166,186
25-10-2025 21:31,1231.63,30.6,54,166,189
25-10-2025 21:31,1246.71,30.6,54,165,187
25-10-2025 21:31,1261.78,30.9,54,170,193
25-10-2025 21:32,1276.86,30.3,54,168,196
25-10-2025 21:32,1291.93,30.5,54,167,193
25-10-2025 21:32,1307.01,30.4,54,166,190
25-10-2025 21:32,1322.09,30.7,54,165,188
25-10-2025 21:33,1337.16,30.8,54,166,188
25-10-2025 21:33,1352.24,30.8,54,168,190
25-10-2025 21:33,1367.32,30.2,54,162,188
25-10-2025 21:33,1382.39,30.3,54,161,187
25-10-2025 21:34,1397.47,30.2,54,169,194
25-10-2025 21:34,1412.55,30.2,54,165,191
25-10-2025 21:34,1427.63,30.1,54,170,194
25-10-2025 21:34,1442.7,30.4,54,171,195
