System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,CO2,CO
30-10-2025 18:19,21.19,28.3,67,112,128,445.31,0.59
30-10-2025 18:19,36.5,28.2,67,110,126,417.78,0.56
30-10-2025 18:19,51.82,28.4,67,111,126,400.91,0.47
30-10-2025 18:19,67.14,28.9,67,112,125,372.65,0.4
30-10-2025 18:20,82.45,28.4,67,110,124,356.17,0.4
30-10-2025 18:20,97.77,28.2,67,114,131,326.18,0.2
30-10-2025 18:20,113.09,28.4,67,114,132,313.62,0.29
30-10-2025 18:20,128.41,28.3,67,116,130,309.35,0.27
30-10-2025 18:21,143.72,28.9,68,117,131,282.77,0.27
30-10-2025 18:21,159.04,28.9,68,112,127,288.23,0.25
30-10-2025 18:21,174.36,28,68,109,122,276.44,0.22
30-10-2025 18:21,189.67,28.1,68,108,123,256.79,0.25
30-10-2025 18:22,204.99,28.8,68,109,124,258.15,0.22
30-10-2025 18:22,220.99,28,68,108,125,240.89,0.19
30-10-2025 18:22,236.31,28,68,111,127,243.05,0.2
30-10-2025 18:22,251.62,28.8,68,110,124,230.34,0.19
30-10-2025 18:23,266.93,28.7,68,110,125,225.82,0.17
30-10-2025 18:23,282.25,28.3,68,107,121,232.42,0.2
30-10-2025 18:23,297.56,28.8,68,105,121,219.78,0.16
30-10-2025 18:23,312.88,28.4,68,105,119,220.18,0.17
30-10-2025 18:24,328.19,28.6,68,109,123,210.02,0.16
30-10-2025 18:24,343.51,28.5,68,108,121,207.35,0.18
30-10-2025 18:24,358.82,28.1,68,105,117,210.78,0.14
30-10-2025 18:25,374.14,28.5,68,106,119,198.04,0.16
30-10-2025 18:25,389.45,28.6,68,107,121,203.96,0.22
30-10-2025 18:25,404.77,28.3,68,107,120,196.22,0.16
30-10-2025 18:25,420.08,28.1,68,107,121,185.6,0.16
30-10-2025 18:26,435.4,28.7,68,103,115,193.34,0.14
30-10-2025 18:26,450.72,28.8,68,107,120,181.48,0.15
30-10-2025 18:26,466.03,28.3,68,108,123,183.53,0.14
30-10-2025 18:26,481.35,28.1,68,105,122,185.25,0.12
30-10-2025 18:27,496.66,28.6,68,103,117,176.11,0.14
30-10-2025 18:27,511.98,28.3,68,104,117,183.53,0.15
30-10-2025 18:27,527.29,28.4,68,105,117,178.11,0.14
30-10-2025 18:27,542.61,28.4,68,105,116,174.46,0.14
30-10-2025 18:28,557.92,28.7,68,107,118,178.78,0.12
30-10-2025 18:28,573.23,28.4,68,106,121,168.63,0.13
30-10-2025 18:28,588.55,28.5,68,100,114,173.48,0.13
30-10-2025 18:28,603.87,28.3,68,99,112,172.83,0.11
30-10-2025 18:29,0.18,28.3,68,102,115,167.35,0.11
30-10-2025 18:29,634.5,28.2,68,102,115,174.46,0.1
30-10-2025 18:29,649.81,28.1,68,106,121,168.95,0.12
30-10-2025 18:29,665.13,28.8,68,104,119,167.35,0.12
30-10-2025 18:30,680.45,28.9,68,102,118,170.88,0.13
30-10-2025 18:30,695.76,28.3,68,103,119,164.2,0.11
30-10-2025 18:30,711.07,28.8,68,105,122,162.33,0.13
30-10-2025 18:30,726.39,28,68,103,119,167.35,0.12
30-10-2025 18:31,741.7,28.7,68,106,117,160.78,0.09
30-10-2025 18:31,757.02,28.3,68,102,115,169.91,0.18
30-10-2025 18:31,772.34,28.4,68,100,114,166.4,0.19
30-10-2025 18:31,787.65,28.9,68,100,114,161.4,0.17
30-10-2025 18:32,802.97,28.6,68,100,114,163.26,0.32
30-10-2025 18:32,818.28,28.8,68,100,113,156.22,0.11
30-10-2025 18:32,833.6,28.2,68,101,116,160.48,0.13
30-10-2025 18:32,0.92,28.7,68,102,114,167.35,0.11
30-10-2025 18:33,864.23,28,68,104,116,159.25,0.05
30-10-2025 18:33,879.55,28.4,68,103,113,164.51,0.11
30-10-2025 18:33,894.86,28.6,68,105,118,160.78,0.1
30-10-2025 18:33,910.18,28.9,68,107,120,157.43,0.12
30-10-2025 18:34,925.5,28,68,106,119,164.2,0.11
30-10-2025 18:34,940.81,28.6,68,102,115,158.64,0.09
30-10-2025 18:34,956.12,28.2,68,102,116,159.56,0.11
30-10-2025 18:34,971.44,28,68,101,113,183.53,0.12
30-10-2025 18:35,986.75,28.9,68,99,112,155.92,0.06
30-10-2025 18:35,1002.07,28.6,68,101,118,158.95,0.11
30-10-2025 18:35,1017.39,28.9,68,99,115,162.02,0.13
30-10-2025 18:35,1032.7,28.2,68,102,116,161.71,0.11
30-10-2025 18:36,0.01,28.4,68,100,111,166.4,0.11
30-10-2025 18:36,1063.33,28,68,103,114,157.43,0.17
30-10-2025 18:36,1078.65,28.7,68,98,111,158.04,0.1
30-10-2025 18:37,1093.96,28.4,68,99,115,160.78,0.1
30-10-2025 18:37,1109.28,28.4,68,98,115,156.22,0.1
30-10-2025 18:37,1124.59,28.5,68,97,114,162.64,0.11
