System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,CO2,CO
01-11-2025 09:16,21.2,28.4,63,326,390,493.51,0.29
01-11-2025 09:17,36.51,28.9,63,328,394,462.26,0.71
01-11-2025 09:17,51.83,28.7,63,326,391,460.47,0.29
01-11-2025 09:17,67.15,28,63,324,382,447.24,0.03
01-11-2025 09:17,82.46,28.1,63,318,369,431.79,0.29
01-11-2025 09:18,97.78,28.5,63,322,373,448.12,0
01-11-2025 09:18,113.09,28.4,63,323,375,415.94,0
01-11-2025 09:18,128.42,28.2,63,320,379,433.48,2.58
01-11-2025 09:18,143.73,27.8,64,323,382,402.97,0
01-11-2025 09:19,159.05,27.6,64,326,384,406.99,0
01-11-2025 09:19,174.36,27.5,64,324,380,413.49,0
01-11-2025 09:19,189.68,27.9,63,325,384,387.99,0
01-11-2025 09:19,205,27.2,63,322,386,403.77,0
01-11-2025 09:20,220.31,27.5,63,326,391,396.61,0
01-11-2025 09:20,235.63,27.3,63,327,385,372.72,0
01-11-2025 09:20,250.95,27.7,63,330,388,374.98,0
01-11-2025 09:20,266.26,27,64,328,384,366,0
01-11-2025 09:21,281.58,27.5,64,325,382,359.39,0
01-11-2025 09:21,296.9,27.2,64,316,376,374.98,0
01-11-2025 09:21,0.21,27.6,64,314,375,345.73,0
01-11-2025 09:21,327.53,27,64,325,385,342.21,0
01-11-2025 09:22,342.85,27.2,64,325,385,368.97,0
01-11-2025 09:22,358.17,27,64,330,390,332.5,0
01-11-2025 09:22,373.48,27,64,338,396,350.71,0
01-11-2025 09:23,388.8,27.6,64,335,394,329.77,0
01-11-2025 09:23,404.12,27.7,64,337,397,342.91,0
01-11-2025 09:23,419.43,27.7,64,332,390,346.44,0
01-11-2025 09:23,434.75,27.4,64,328,392,333.87,0
01-11-2025 09:24,450.07,27.4,64,329,392,333.87,0
01-11-2025 09:24,465.38,27.7,64,331,388,323.68,0
01-11-2025 09:24,480.7,27.9,64,330,385,303.41,0
01-11-2025 09:24,496.01,27.5,64,327,382,329.09,0
01-11-2025 09:25,511.33,27.4,64,331,388,300.87,0
01-11-2025 09:25,526.65,27.9,64,325,397,300.87,0
01-11-2025 09:25,541.97,27.1,64,328,397,322.34,1.24
01-11-2025 09:25,557.28,27.1,64,328,397,293.97,0
01-11-2025 09:26,572.6,27.2,64,321,387,303.41,0
01-11-2025 09:26,587.91,27.1,65,328,387,286.59,0
01-11-2025 09:26,603.24,27.9,65,328,393,285.98,0
01-11-2025 09:26,618.55,27.3,65,328,393,303.41,0
01-11-2025 09:27,633.87,27.6,64,331,391,285.38,0
01-11-2025 09:27,649.18,27.5,64,341,401,296.47,0
01-11-2025 09:27,664.49,27.5,64,337,398,295.84,0
01-11-2025 09:27,679.81,27.4,65,336,391,282.96,0
01-11-2025 09:28,695.13,26.1,65,340,398,290.88,0
01-11-2025 09:28,710.45,26.6,65,333,391,283.56,0
01-11-2025 09:28,725.76,26.5,65,333,391,274.03,0
01-11-2025 09:28,741.08,27.2,65,329,387,282.35,0
01-11-2025 09:29,756.39,27.7,65,334,386,264.76,0
01-11-2025 09:29,771.71,27.2,65,341,402,262.48,0
01-11-2025 09:29,787.03,27.2,65,339,399,278.76,0
01-11-2025 09:29,802.34,27.4,65,339,397,263.61,0
01-11-2025 09:30,817.66,27.8,65,342,400,279.36,0
01-11-2025 09:30,832.98,27.5,65,336,400,261.34,0
01-11-2025 09:30,848.3,27.6,64,331,398,252.41,0
01-11-2025 09:30,863.61,27.2,64,335,403,269.36,0
01-11-2025 09:31,878.93,26.3,65,334,402,250.22,0
01-11-2025 09:31,894.24,26.3,65,336,404,271.69,0
01-11-2025 09:31,909.56,26.5,65,344,412,272.86,0
01-11-2025 09:31,924.88,26.5,65,347,406,248.58,0
01-11-2025 09:32,940.19,27,64,345,404,260.21,0
01-11-2025 09:32,955.51,27.4,65,342,402,250.77,0
01-11-2025 09:32,970.82,27,64,344,406,245.87,0
01-11-2025 09:32,986.14,27.5,64,348,409,250.77,0
01-11-2025 09:33,1001.46,27.5,64,341,395,238.94,0
01-11-2025 09:33,1016.77,27.6,64,351,423,243.72,0
01-11-2025 09:33,1032.09,27.3,64,344,415,254.07,0
01-11-2025 09:33,1047.41,27.5,65,343,413,242.12,0
01-11-2025 09:34,1062.72,27.7,64,342,409,255.73,0
01-11-2025 09:34,1078.04,27.1,64,347,410,241.59,0
01-11-2025 09:34,1093.36,27,64,351,413,236.32,0
01-11-2025 09:35,1108.68,27.1,64,349,411,263.05,0
01-11-2025 09:35,23.99,27.1,64,349,413,228.07,0
01-11-2025 09:35,1139.31,27,64,353,420,247.5,0
01-11-2025 09:35,1154.62,27.7,64,345,409,236.84,0
01-11-2025 09:36,1169.94,27.7,64,346,412,226.55,0
01-11-2025 09:36,1185.26,27.9,64,354,420,239.47,0
01-11-2025 09:36,1200.57,27.9,64,347,413,228.58,0
