System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,NO2,CO
04-11-2025 19:39,56.47,30,54,83,94,0.74,0.7
04-11-2025 19:39,71.57,30.9,54,82,93,0.71,0.86
04-11-2025 19:39,86.68,30.5,54,82,93,0.71,0.69
04-11-2025 19:40,101.79,30.6,54,82,93,0.69,0.82
04-11-2025 19:40,116.89,30.5,54,83,94,0.67,0.85
04-11-2025 19:40,132,30.8,55,82,93,0.68,0.73
04-11-2025 19:40,147.11,30.5,55,82,93,0.68,0.86
04-11-2025 19:41,162.21,30.1,54,80,91,0.74,0.64
04-11-2025 19:41,177.32,30.2,51,79,87,0.59,0.72
04-11-2025 19:41,192.43,30.6,51,77,86,0.5,0.6
04-11-2025 19:41,207.54,30.8,51,79,88,0.43,0.7
04-11-2025 19:42,222.64,29.5,51,79,89,0.42,0.58
04-11-2025 19:42,237.75,29.7,51,92,103,0.39,0.62
04-11-2025 19:42,252.86,29.2,51,93,104,0.36,0.62
04-11-2025 19:42,267.96,29.3,51,102,116,0.37,0.52
04-11-2025 19:43,283.07,29.1,51,102,116,0.34,0.64
04-11-2025 19:43,298.18,29.5,51,99,113,0.33,0.52
04-11-2025 19:43,313.29,29.3,51,99,113,0.32,0.62
04-11-2025 19:43,328.39,29.1,51,94,105,0.32,0.49
04-11-2025 19:44,343.5,29.2,51,93,104,0.31,0.5
04-11-2025 19:44,358.61,29.5,51,93,104,0.32,0.63
04-11-2025 19:44,373.71,29.4,52,92,103,0.32,0.47
04-11-2025 19:44,388.82,29.3,52,91,103,0.31,0.62
04-11-2025 19:45,403.93,28.7,52,93,105,0.32,0.59
04-11-2025 19:45,419.04,28.2,52,93,104,0.31,0.58
04-11-2025 19:45,434.14,28.9,52,95,106,0.31,0.55
04-11-2025 19:45,449.25,28.3,52,95,106,0.31,0.64
04-11-2025 19:46,464.36,28.8,52,95,106,0.31,0.62
04-11-2025 19:46,479.47,28.3,52,90,102,0.31,0.53
04-11-2025 19:46,494.58,28.4,52,90,107,0.3,0.61
04-11-2025 19:46,509.68,28.7,53,87,103,0.29,0.53
04-11-2025 19:47,524.79,28,53,87,102,0.29,0.62
04-11-2025 19:47,539.9,28.7,53,87,99,0.3,0.53
04-11-2025 19:47,555.01,28.3,53,87,100,0.29,0.64
04-11-2025 19:47,570.11,28.2,53,87,100,0.29,0.63
04-11-2025 19:48,585.22,28.2,53,88,103,0.29,0.64
04-11-2025 19:48,600.33,28.3,53,90,103,0.29,0.64
04-11-2025 19:48,615.44,28.5,53,89,104,0.29,0.51
04-11-2025 19:48,630.54,28.9,53,89,104,0.29,0.63
04-11-2025 19:49,645.65,28.9,53,88,104,0.29,0.55
04-11-2025 19:49,660.76,28.7,53,88,104,0.29,0.64
04-11-2025 19:49,675.87,28,53,85,99,0.29,0.57
04-11-2025 19:49,690.98,28.3,53,89,100,0.29,0.51
04-11-2025 19:50,706.08,28.7,53,87,98,0.27,0.64
04-11-2025 19:50,721.19,28.8,53,86,98,0.29,0.56
04-11-2025 19:50,736.3,27.8,54,88,100,0.27,0.55
04-11-2025 19:50,751.41,27.7,54,87,99,0.28,0.58
04-11-2025 19:51,766.51,27.2,54,87,100,0.28,0.62
04-11-2025 19:51,781.62,27.8,54,83,96,0.29,0.49
04-11-2025 19:51,796.73,27.4,54,84,96,0.29,0.62
04-11-2025 19:51,811.84,27,54,85,95,0.29,0.61
04-11-2025 19:52,826.95,27.9,54,86,96,0.27,0.52
04-11-2025 19:52,842.05,27.9,54,86,96,0.28,0.62
04-11-2025 19:52,857.16,27.7,54,84,95,0.28,0.48
04-11-2025 19:52,872.27,27.2,54,84,95,0.28,0.63
04-11-2025 19:53,887.38,27.3,54,86,96,0.29,0.53
04-11-2025 19:53,902.48,27.2,54,86,96,0.28,0.54
04-11-2025 19:53,917.59,27.6,54,85,97,0.28,0.61
04-11-2025 19:53,932.7,27.6,54,84,98,0.29,0.55
04-11-2025 19:54,947.8,27.6,54,84,98,0.29,0.64
04-11-2025 19:54,962.91,27.4,54,85,98,0.28,0.51
04-11-2025 19:54,978.02,27.5,54,85,98,0.28,0.61
04-11-2025 19:54,993.13,27.8,54,86,99,0.29,0.55
04-11-2025 19:55,1008.23,27.2,54,86,101,0.29,0.62
04-11-2025 19:55,1023.34,27.3,54,86,99,0.29,0.61
04-11-2025 19:55,1038.45,27.5,54,84,96,0.29,0.5
04-11-2025 19:55,1053.56,27.9,54,83,95,0.29,0.64
04-11-2025 19:56,1068.66,27.3,54,85,98,0.3,0.55
04-11-2025 19:56,1083.77,27.3,55,87,98,0.29,0.64
04-11-2025 19:56,1098.88,27.6,55,88,98,0.3,0.55
04-11-2025 19:56,1113.98,27.6,55,88,100,0.29,0.52
04-11-2025 19:57,1129.09,27.3,55,88,100,0.29,0.61
04-11-2025 19:57,1144.2,27.1,54,87,99,0.3,0.53
04-11-2025 19:57,1159.31,27.9,55,87,99,0.29,0.62
04-11-2025 19:57,1174.41,27.2,55,89,98,0.29,0.49
04-11-2025 19:58,1189.52,27.1,55,87,99,0.29,0.61
04-11-2025 19:58,1204.63,27.7,55,87,99,0.3,0.51
04-11-2025 19:58,1219.73,27.2,55,92,105,0.28,0.62
04-11-2025 19:58,1234.84,27.8,55,92,105,0.3,0.58
04-11-2025 19:59,1249.95,27.5,55,90,104,0.3,0.52
04-11-2025 19:59,1265.06,27.8,55,91,103,0.29,0.59
04-11-2025 19:59,1280.16,27.3,55,93,105,0.3,0.52
04-11-2025 19:59,1295.27,27.3,55,90,102,0.3,0.61
04-11-2025 20:00,1310.38,27.3,55,94,107,0.31,0.56
04-11-2025 20:00,1325.49,27,55,94,107,0.3,0.56
04-11-2025 20:00,1340.59,27.7,55,94,107,0.3,0.62
04-11-2025 20:00,1355.7,27.7,55,92,103,0.3,0.5
04-11-2025 20:01,1370.81,27.7,55,91,102,0.29,0.64
