System_Time,Uptime(ms),Temp,Humidity,PM2.5,"PM10, CO2, CO"
2025-11-05 19:49:24,41.32,29.80,49.00,90,106,0.51,0.22
2025-11-05 19:49:39,56.43,28.10,49.00,90,106,0.40,0.17
2025-11-05 19:49:55,71.53,28.00,48.00,87,103,0.33,0.12
2025-11-05 19:50:10,86.64,28.30,48.00,87,103,0.28,0.10
2025-11-05 19:50:25,101.75,28.00,48.00,87,103,0.26,0.10
2025-11-05 19:50:40,116.86,28.40,47.00,89,104,0.23,0.09
2025-11-05 19:50:55,131.96,28.10,47.00,89,104,0.22,0.09
2025-11-05 19:51:10,147.07,28.30,47.00,89,104,0.20,0.08
2025-11-05 19:51:25,162.18,28.80,47.00,99,115,0.20,0.09
2025-11-05 19:51:40,177.28,28.90,47.00,99,115,0.18,0.08
2025-11-05 19:51:55,192.39,28.30,48.00,99,114,0.18,0.08
2025-11-05 19:52:10,207.50,28.60,48.00,108,127,0.17,0.07
2025-11-05 19:52:26,222.61,28.60,47.00,108,124,0.17,0.06
2025-11-05 19:52:41,237.71,28.00,47.00,109,130,0.16,0.07
2025-11-05 19:52:56,252.82,28.90,47.00,109,130,0.16,0.06
2025-11-05 19:53:11,267.93,28.10,48.00,107,126,0.15,0.06
2025-11-05 19:53:26,283.04,27.20,48.00,107,129,0.15,0.06
2025-11-05 19:53:41,298.14,27.80,48.00,112,135,0.15,0.06
2025-11-05 19:53:56,313.25,27.20,48.00,110,132,0.14,0.06
2025-11-05 19:54:11,328.36,27.90,48.00,108,128,0.14,0.06
2025-11-05 19:54:26,343.46,27.20,48.00,108,128,0.14,0.06
2025-11-05 19:54:42,358.57,27.10,48.00,110,132,0.14,0.05
2025-11-05 19:54:57,373.68,27.80,48.00,107,122,0.14,0.06
2025-11-05 19:55:12,388.79,27.20,48.00,107,127,0.13,0.06
2025-11-05 19:55:27,403.89,27.50,48.00,108,128,0.13,0.05
2025-11-05 19:55:42,419.00,27.90,48.00,111,130,0.13,0.06
2025-11-05 19:55:57,434.11,27.30,48.00,107,125,0.12,0.05
2025-11-05 19:56:12,449.21,27.10,48.00,109,124,0.13,0.06
2025-11-05 19:56:27,464.32,27.90,48.00,111,130,0.13,0.05
2025-11-05 19:56:42,479.43,27.30,48.00,110,134,0.13,0.06
2025-11-05 19:56:58,494.54,27.30,48.00,109,133,0.12,0.06
2025-11-05 19:57:13,509.64,27.60,48.00,109,129,0.12,0.04
2025-11-05 19:57:28,524.75,27.40,48.00,108,127,0.12,0.06
2025-11-05 19:57:43,539.86,27.10,48.00,108,127,0.12,0.05
2025-11-05 19:57:58,554.96,27.90,48.00,110,129,0.12,0.06
2025-11-05 19:58:13,570.07,27.60,48.00,109,125,0.12,0.06
2025-11-05 19:58:28,585.18,27.60,48.00,109,126,0.11,0.04
2025-11-05 19:58:43,600.29,27.80,48.00,112,131,0.12,0.06
2025-11-05 19:58:58,615.39,27.10,48.00,112,132,0.12,0.05
2025-11-05 19:59:13,630.50,27.80,48.00,112,132,0.12,0.06
2025-11-05 19:59:29,645.61,27.10,48.00,109,122,0.11,0.05
2025-11-05 19:59:44,660.71,27.60,48.00,109,122,0.11,0.05
2025-11-05 19:59:59,675.82,27.90,48.00,109,123,0.11,0.05
2025-11-05 20:00:14,690.93,27.30,48.00,113,128,0.11,0.05
2025-11-05 20:00:29,706.03,27.00,48.00,113,129,0.11,0.06
2025-11-05 20:00:44,721.14,27.70,48.00,113,133,0.11,0.04
2025-11-05 20:00:59,736.25,27.30,48.00,111,126,0.11,0.06
2025-11-05 20:01:14,751.36,27.20,48.00,118,137,0.11,0.04
2025-11-05 20:01:29,766.47,27.50,48.00,118,138,0.11,0.06
2025-11-05 20:01:45,781.57,27.60,48.00,117,138,0.11,0.05
2025-11-05 20:02:00,796.68,27.90,48.00,115,132,0.11,0.04
2025-11-05 20:02:15,811.79,27.20,48.00,115,131,0.11,0.06
2025-11-05 20:02:30,826.90,27.40,48.00,116,135,0.11,0.05
2025-11-05 20:02:45,842.00,27.00,48.00,115,133,0.11,0.06
2025-11-05 20:03:00,857.11,27.50,48.00,115,133,0.10,0.04
2025-11-05 20:03:15,872.22,27.00,48.00,115,133,0.11,0.05
2025-11-05 20:03:30,887.32,27.50,48.00,110,128,0.11,0.05
2025-11-05 20:03:45,902.43,27.00,48.00,109,127,0.10,0.05
2025-11-05 20:04:01,917.54,27.30,48.00,108,127,0.10,0.06
2025-11-05 20:04:16,932.65,27.90,48.00,112,130,0.10,0.05
2025-11-05 20:04:31,947.75,27.10,48.00,112,130,0.10,0.05
2025-11-05 20:04:46,962.86,27.40,48.00,113,132,0.10,0.06
2025-11-05 20:05:01,977.97,27.00,48.00,115,135,0.10,0.04
2025-11-05 20:05:16,993.08,27.60,48.00,114,131,0.10,0.05
2025-11-05 20:05:31,1008.18,27.10,48.00,118,137,0.10,0.04
2025-11-05 20:05:46,1023.29,27.80,48.00,115,133,0.10,0.06
2025-11-05 20:06:01,1038.40,27.20,48.00,119,134,0.10,0.04
