System_Time,Uptime(ms),Temp,Humidity,PM2.5,PM10,AQI,NO2,CO,CO2,Unnamed: 6,Unnamed: 7
01-11-2025 09:16,21.2,28.4,63.0,326,390,410.9264705882353,,0.29,493.51,,
01-11-2025 09:17,36.51,28.9,63.0,328,394,411.19117647058823,,0.71,462.26,,
01-11-2025 09:18,97.78,28.5,63.0,322,373,410.3970588235294,,0.0,448.12,,
01-11-2025 09:19,159.05,27.6,64.0,326,384,410.9264705882353,,0.0,406.99,,
01-11-2025 09:20,266.26,27.0,64.0,328,384,411.19117647058823,,0.0,366.0,,
01-11-2025 09:21,281.58,27.5,64.0,325,382,410.79411764705884,,0.0,359.39,,
01-11-2025 09:22,342.85,27.2,64.0,325,385,410.79411764705884,,0.0,368.97,,
01-11-2025 09:23,388.8,27.6,64.0,335,394,412.11764705882354,,0.0,329.77,,
01-11-2025 09:24,496.01,27.5,64.0,327,382,411.05882352941177,,0.0,329.09,,
01-11-2025 09:25,511.33,27.4,64.0,331,388,411.5882352941176,,0.0,300.87,,
01-11-2025 09:26,572.6,27.2,64.0,321,387,410.2647058823529,,0.0,303.41,,
01-11-2025 09:27,679.81,27.4,65.0,336,391,412.25,,0.0,282.96,,
01-11-2025 09:28,695.13,26.1,65.0,340,398,412.77941176470586,,0.0,290.88,,
01-11-2025 09:29,756.39,27.7,65.0,334,386,411.9852941176471,,0.0,264.76,,
01-11-2025 09:30,848.3,27.6,64.0,331,398,411.5882352941176,,0.0,252.41,,
01-11-2025 09:31,909.56,26.5,65.0,344,412,413.30882352941177,,0.0,272.86,,
01-11-2025 09:32,940.19,27.0,64.0,345,404,413.44117647058823,,0.0,260.21,,
01-11-2025 09:33,1001.46,27.5,64.0,341,395,412.9117647058824,,0.0,238.94,,
01-11-2025 09:34,1062.72,27.7,64.0,342,409,413.04411764705884,,0.0,255.73,,
01-11-2025 09:35,23.99,27.1,64.0,349,413,413.97058823529414,,0.0,228.07,,
01-11-2025 09:36,1169.94,27.7,64.0,346,412,413.5735294117647,,0.0,226.55,,
01-11-2025 09:37,1231.2,27.0,64.0,344,410,413.30882352941177,,0.0,232.68,,
01-11-2025 09:38,1292.47,27.2,64.0,349,408,413.97058823529414,,0.0,219.07,,
01-11-2025 09:39,1384.37,27.8,64.0,345,415,413.44117647058823,,0.0,234.23,,
01-11-2025 09:40,1415.01,27.0,64.0,354,418,414.63235294117646,,0.0,210.34,,
01-11-2025 09:41,1476.27,27.2,64.0,356,420,414.8970588235294,,0.0,224.03,,
01-11-2025 09:42,1583.49,27.1,64.0,352,414,414.36764705882354,,0.0,218.08,,
01-11-2025 09:43,1644.75,27.2,64.0,356,420,414.8970588235294,,0.0,202.36,,
01-11-2025 09:44,1660.07,27.3,64.0,357,430,415.02941176470586,,0.0,201.89,,
01-11-2025 09:45,1767.29,27.6,63.0,357,418,415.02941176470586,,0.0,195.96,,
01-11-2025 09:46,1797.92,27.7,63.0,358,418,415.1617647058824,,0.0,199.14,,
01-11-2025 09:47,1859.19,27.5,62.0,356,417,414.8970588235294,,0.0,184.5,,
01-11-2025 09:48,1889.82,27.5,62.0,364,422,415.95588235294116,,0.0,185.36,,
01-11-2025 09:49,1951.09,27.4,62.0,361,425,415.55882352941177,,0.0,179.81,,
01-11-2025 09:50,2012.36,27.0,62.0,366,429,416.22058823529414,,0.0,180.23,,
01-11-2025 09:51,2119.57,27.8,63.0,354,415,414.63235294117646,,0.0,194.16,,
01-11-2025 09:52,2134.89,27.0,62.0,354,408,414.63235294117646,,0.0,176.04,,
01-11-2025 09:53,2196.16,27.2,63.0,360,419,415.4264705882353,,0.0,188.84,,
01-11-2025 09:54,2257.43,27.4,63.0,357,422,415.02941176470586,,0.0,183.21,,
01-11-2025 09:55,2364.65,27.3,62.0,369,430,416.61764705882354,,0.0,195.96,,
01-11-2025 09:56,2379.96,27.5,62.0,361,419,415.55882352941177,,0.0,185.36,,
01-11-2025 09:57,2441.23,27.7,62.0,364,424,415.95588235294116,,0.0,174.8,,
01-11-2025 09:58,2502.5,27.7,63.0,363,430,415.8235294117647,,0.0,197.32,,
01-11-2025 09:59,2579.09,27.2,62.0,363,432,415.8235294117647,,0.0,198.23,,
01-11-2025 10:00,2609.72,27.9,62.0,358,429,415.1617647058824,,0.0,198.68,,
01-11-2025 10:01,2670.99,27.0,62.0,361,436,415.55882352941177,,0.0,181.93,,
01-11-2025 10:02,2732.25,27.3,62.0,364,431,415.95588235294116,,0.0,186.23,,
01-11-2025 10:03,2839.47,27.6,61.0,356,414,414.8970588235294,,0.0,166.3,,
01-11-2025 10:04,2854.79,27.6,61.0,368,435,416.4852941176471,,0.0,174.39,,
01-11-2025 10:05,2916.05,27.5,61.0,372,434,417.0147058823529,,0.0,162.75,,
01-11-2025 10:06,2977.32,27.8,61.0,368,436,416.4852941176471,,0.0,173.57,,
01-11-2025 10:07,3084.54,27.9,61.0,372,438,417.0147058823529,,0.0,174.39,,
01-11-2025 10:08,3099.86,27.4,60.0,376,438,417.54411764705884,,0.0,181.08,,
01-11-2025 10:09,3161.12,27.2,60.0,377,430,417.6764705882353,,0.0,167.89,,
01-11-2025 10:10,3222.39,27.2,60.0,376,444,417.54411764705884,,0.0,170.31,,
01-11-2025 10:11,3314.29,27.4,60.0,372,437,417.0147058823529,,0.0,184.93,,
01-11-2025 10:12,3329.61,27.6,60.0,364,425,415.95588235294116,,0.0,168.29,,
01-11-2025 10:13,3390.87,27.0,60.0,368,439,416.4852941176471,,0.0,172.75,,
01-11-2025 10:14,3498.09,27.3,59.0,369,435,416.61764705882354,,0.0,161.59,,
01-11-2025 10:15,3513.41,27.1,60.0,369,434,416.61764705882354,,0.0,173.57,,
01-11-2025 10:16,3574.68,28.0,59.0,370,438,416.75,,0.0,160.81,,
01-11-2025 10:17,3666.58,28.5,59.0,375,439,417.4117647058824,,0.0,178.13,,
01-11-2025 10:18,3712.53,28.6,58.0,378,444,417.80882352941177,,0.0,160.42,,
04-11-2025 19:39,56.47,30.0,54.0,83,94,176.10344827586206,0.74,0.7,,,
04-11-2025 19:40,101.79,30.6,54.0,82,93,172.68965517241378,0.69,0.82,,,
04-11-2025 19:41,162.21,30.1,54.0,80,91,165.86206896551724,0.74,0.64,,,
04-11-2025 19:42,267.96,29.3,51.0,102,116,238.55172413793105,0.37,0.52,,,
04-11-2025 19:43,283.07,29.1,51.0,102,116,238.55172413793105,0.34,0.64,,,
04-11-2025 19:44,343.5,29.2,51.0,93,104,207.82758620689654,0.31,0.5,,,
04-11-2025 19:45,449.25,28.3,52.0,95,106,214.6551724137931,0.31,0.64,,,
04-11-2025 19:46,464.36,28.8,52.0,95,106,214.6551724137931,0.31,0.62,,,
04-11-2025 19:47,524.79,28.0,53.0,87,102,189.75862068965517,0.29,0.62,,,
04-11-2025 19:48,630.54,28.9,53.0,89,104,196.58620689655172,0.29,0.63,,,
04-11-2025 19:49,645.65,28.9,53.0,88,104,193.17241379310343,0.29,0.55,,,
04-11-2025 19:50,706.08,28.7,53.0,87,98,189.75862068965517,0.27,0.64,,,
04-11-2025 19:51,811.84,27.0,54.0,85,95,182.9310344827586,0.29,0.61,,,
04-11-2025 19:52,826.95,27.9,54.0,86,96,186.3448275862069,0.27,0.52,,,
04-11-2025 19:53,887.38,27.3,54.0,86,96,186.3448275862069,0.29,0.53,,,
04-11-2025 19:54,993.13,27.8,54.0,86,99,186.3448275862069,0.29,0.55,,,
04-11-2025 19:55,1008.23,27.2,54.0,86,101,186.3448275862069,0.29,0.62,,,
04-11-2025 19:56,1068.66,27.3,54.0,85,98,182.9310344827586,0.3,0.55,,,
04-11-2025 19:57,1174.41,27.2,55.0,89,98,196.58620689655172,0.29,0.49,,,
04-11-2025 19:58,1189.52,27.1,55.0,87,99,189.75862068965517,0.29,0.61,,,
04-11-2025 19:59,1249.95,27.5,55.0,90,104,200.0,0.3,0.52,,,
04-11-2025 20:00,1325.49,27.0,55.0,94,107,211.24137931034483,0.3,0.56,,,
04-11-2025 20:01,1370.81,27.7,55.0,91,102,201.0,0.29,0.64,,,
04-11-2025 20:02,1461.45,27.5,55.0,90,104,200.0,0.29,0.53,,,
04-11-2025 20:03,1536.99,27.4,55.0,90,102,200.0,0.29,0.49,,,
04-11-2025 20:04,1552.1,27.0,55.0,92,104,204.41379310344828,0.29,0.56,,,
04-11-2025 20:05,1612.53,27.5,55.0,90,103,200.0,0.3,0.58,,,
04-11-2025 20:06,1718.28,26.2,56.0,95,104,214.6551724137931,0.31,0.64,,,
04-11-2025 20:07,1733.38,26.2,56.0,93,105,207.82758620689654,0.3,0.61,,,
04-11-2025 20:08,1778.71,26.1,56.0,95,108,214.6551724137931,0.31,0.5,,,
04-11-2025 20:09,1884.46,26.7,56.0,100,116,231.72413793103448,0.31,0.53,,,
04-11-2025 20:10,1899.56,26.8,56.0,95,109,214.6551724137931,0.31,0.55,,,
04-11-2025 20:11,1959.99,26.7,56.0,95,109,214.6551724137931,0.31,0.52,,,
04-11-2025 20:12,2035.53,26.9,57.0,96,109,218.0689655172414,0.31,0.52,,,
04-11-2025 20:13,2080.85,26.9,57.0,99,116,228.31034482758622,0.31,0.64,,,
04-11-2025 20:14,2171.49,26.7,57.0,103,121,241.9655172413793,0.32,0.53,,,
04-11-2025 20:15,2247.03,26.2,57.0,100,113,231.72413793103448,0.32,0.52,,,
04-11-2025 20:16,2262.14,26.7,57.0,101,113,235.13793103448276,0.31,0.62,,,
04-11-2025 20:17,2322.57,26.3,57.0,102,115,238.55172413793105,0.32,0.5,,,
04-11-2025 20:18,2428.32,26.6,57.0,102,120,238.55172413793105,0.34,0.64,,,
04-11-2025 20:19,2443.43,26.9,57.0,101,115,235.13793103448276,0.33,0.58,,,
04-11-2025 20:20,2503.86,26.8,57.0,124,137,303.30232558139534,0.35,0.64,,,
04-11-2025 20:21,2609.61,26.4,57.0,139,159,314.8139534883721,0.45,0.68,,,
04-11-2025 20:22,2624.72,26.3,57.0,147,163,320.95348837209303,0.43,0.62,,,
04-11-2025 20:23,2685.15,26.6,57.0,174,197,341.6744186046512,0.41,0.64,,,
04-11-2025 20:24,2790.9,26.6,57.0,104,120,245.3793103448276,0.37,0.61,,,
04-11-2025 20:25,2806.01,26.5,57.0,106,121,252.20689655172413,0.36,0.43,,,
04-11-2025 20:26,2866.44,26.5,58.0,103,114,241.9655172413793,0.37,0.61,,,
04-11-2025 20:27,2972.19,26.6,58.0,105,120,248.79310344827587,0.37,0.65,,,
04-11-2025 20:28,2987.3,26.6,58.0,102,117,238.55172413793105,0.37,0.51,,,
04-11-2025 20:29,3047.73,26.7,58.0,103,113,241.9655172413793,0.36,0.62,,,
04-11-2025 20:30,3153.48,26.8,58.0,103,118,241.9655172413793,0.35,0.56,,,
04-11-2025 20:31,3168.59,26.7,58.0,105,121,248.79310344827587,0.35,0.48,,,
04-11-2025 20:32,3229.02,26.6,58.0,106,119,252.20689655172413,0.35,0.62,,,
04-11-2025 20:33,3334.77,26.6,58.0,106,117,252.20689655172413,0.35,0.63,,,
04-11-2025 20:34,3349.88,26.7,58.0,108,120,259.0344827586207,0.36,0.53,,,
04-11-2025 20:35,3410.31,26.6,58.0,103,114,241.9655172413793,0.34,0.54,,,
04-11-2025 20:36,3485.84,26.4,58.0,106,122,252.20689655172413,0.34,0.46,,,
04-11-2025 20:37,3531.16,26.7,58.0,106,121,252.20689655172413,0.33,0.55,,,
04-11-2025 20:38,3621.81,26.5,58.0,109,121,262.44827586206895,0.34,0.62,,,
04-11-2025 20:39,3697.35,26.2,58.0,106,119,252.20689655172413,0.34,0.48,,,
04-11-2025 20:40,3712.45,26.3,58.0,107,120,255.6206896551724,0.32,0.56,,,
04-11-2025 20:41,3772.89,26.6,58.0,109,124,262.44827586206895,0.33,0.48,,,
04-11-2025 20:42,3863.53,26.5,58.0,110,122,265.8620689655172,0.31,0.57,,,
04-11-2025 20:43,3878.64,26.4,58.0,108,124,259.0344827586207,0.33,0.56,,,
04-11-2025 20:44,3939.07,26.2,58.0,111,125,269.2758620689655,0.35,0.54,,,
04-11-2025 20:45,4044.82,26.6,58.0,106,122,252.20689655172413,0.32,0.61,,,
04-11-2025 20:46,4059.92,26.9,58.0,108,125,259.0344827586207,0.32,0.45,,,
04-11-2025 20:47,4165.67,26.5,58.0,112,129,272.6896551724138,0.32,0.45,,,
04-11-2025 20:48,4226.1,26.7,58.0,109,126,262.44827586206895,0.33,0.57,,,
04-11-2025 20:49,4286.53,26.9,58.0,110,122,265.8620689655172,0.32,0.62,,,
04-11-2025 20:50,4331.85,26.7,58.0,110,123,265.8620689655172,0.32,0.6,,,
04-11-2025 20:51,4392.28,26.8,58.0,112,126,272.6896551724138,0.31,0.53,,,
04-11-2025 20:52,4422.5,26.2,58.0,114,130,279.51724137931035,0.31,0.53,,,
04-11-2025 20:53,4482.93,26.6,58.0,119,132,296.58620689655174,0.32,0.5,,,
04-11-2025 20:54,4588.68,26.5,58.0,114,137,279.51724137931035,0.32,0.49,,,
04-11-2025 20:55,4603.79,26.6,58.0,116,135,286.34482758620686,0.32,0.46,,,
04-11-2025 20:56,4709.54,26.4,59.0,117,130,289.7586206896552,0.32,0.56,,,
04-11-2025 20:57,4769.97,26.0,59.0,113,129,276.1034482758621,0.33,0.4,,,
04-11-2025 20:58,4785.08,26.7,59.0,114,130,279.51724137931035,0.31,0.48,,,
04-11-2025 20:59,4845.51,26.2,59.0,119,132,296.58620689655174,0.32,0.49,,,
04-11-2025 21:00,4951.26,26.3,59.0,116,132,286.34482758620686,0.34,0.47,,,
04-11-2025 21:01,4966.37,26.2,59.0,112,129,272.6896551724138,0.32,0.59,,,
04-11-2025 21:02,5026.8,26.5,59.0,117,132,289.7586206896552,0.35,0.46,,,
04-11-2025 21:03,5132.55,26.4,59.0,116,130,286.34482758620686,0.35,0.47,,,
04-11-2025 21:04,5147.66,26.1,59.0,117,134,289.7586206896552,0.34,0.56,,,
04-11-2025 21:05,5208.09,26.1,59.0,115,130,282.9310344827586,0.36,0.61,,,
04-11-2025 21:06,5313.84,26.2,59.0,124,142,303.30232558139534,0.35,0.51,,,
04-11-2025 21:07,5328.95,26.8,59.0,123,141,302.5348837209302,0.36,0.58,,,
04-11-2025 21:08,5389.38,26.0,59.0,120,137,300.0,0.36,0.47,,,
04-11-2025 21:09,5495.13,26.1,59.0,121,137,301.0,0.37,0.61,,,
04-11-2025 21:10,5510.24,26.0,59.0,123,139,302.5348837209302,0.38,0.61,,,
04-11-2025 21:11,5570.67,26.1,59.0,120,132,300.0,0.35,0.57,,,
04-11-2025 21:12,5676.42,26.3,59.0,122,134,301.7674418604651,0.39,0.48,,,
04-11-2025 21:13,5691.52,26.1,59.0,121,134,301.0,0.35,0.51,,,
04-11-2025 21:14,5751.95,26.4,59.0,115,131,282.9310344827586,0.38,0.49,,,
04-11-2025 21:15,5827.49,26.3,59.0,116,131,286.34482758620686,0.41,0.52,,,
05-11-2025 13:48,56.41,29.0,60.0,79,91,162.44827586206895,,,,0.46,0.05
05-11-2025 13:49,86.63,29.1,60.0,78,90,159.0344827586207,,,,0.4,0.03
05-11-2025 13:50,147.06,29.1,60.0,78,90,159.0344827586207,,,,0.33,0.01
05-11-2025 13:51,237.7,29.3,60.0,83,93,176.10344827586206,,,,0.31,0.0
05-11-2025 13:52,267.91,29.5,60.0,74,77,145.3793103448276,,,,0.31,0.0
